"124r -- Yksityisen sektorin kuukausipalkkaisten ansiot koulutusluokituksen (4-numeroinen tutkintokoodi) mukaan vuonna 2018, 2018"

"Vuosi";"Koulutusluokitus";"Säännöllisen työajan keskiansio";"Säännöllisen työajan ansion mediaani"
"2018";"7721 Lääketieteen lisensiaatti";6628;6612
"2018";"7722 Hammaslääketieteen lisensiaatti";6508;5720
"2018";"7723 Eläinlääketieteen lisensiaatti";4322;3800
"2018";"7724 Farmasian ylempi korkeakoulututkinto";4732;4453
"2018";"7725 Terveystieteiden maisteri, terveydenhuollon kandidaatti (ylempi)";4222;4219
"2018";"7729 Muu terveys- ja sosiaalialan koulutus, ylempi korkeakouluaste";.;.
"2018";"7751 Erikoislääkäri";7936;7751
"2018";"7752 Erikoishammaslääkäri";6943;6468
"2018";"7753 Erikoiseläinlääkäri";5192;5036
"2018";"7759 Muu lääkäreiden erikoistumiskoulutus";.;.
"2018";"7811 Matkailu-, ravitsemis- ja talousalan ylempi ammattikorkeakoulututkinto";4013;3741
"2018";"7812 Liikunnan ylempi ammattikorkeakoulututkinto";3820;3830
"2018";"7814 Merenkulun ylempi ammattikorkeakoulututkinto";.;.
"2018";"7819 Muu palvelualojen ylempi ammattikorkeakoulututkinto";5225;5026
"2018";"7822 Liikuntatieteiden maisteri, liikuntatieteiden kandidaatti (ylempi)";4134;3920
"2018";"7826 Sotilasalan koulutus, ylempi korkeakouluaste";6307;5655
"2018";"7829 Muu palvelualojen koulutus, ylempi korkeakouluaste";.;.
"2018";"7919 Muu ylempi ammattikorkeakoulututkinto";.;.
"2018";"7929 Filosofian maisteri, filosofian kandidaatti, muu koulutusala";.;.
"2018";"7999 Muu koulutus, ylempi korkeakouluaste";3833;3689
"2018";"8121 Kasvatustieteen lisensiaatti";4818;4760
"2018";"8151 Kasvatustieteen tohtori";4910;4583
"2018";"8152 Filosofian tohtori, kasvatustieteellinen ala";4857;4720
"2018";"8221 Taiteen lisensiaatti";.;.
"2018";"8222 Musiikin lisensiaatti";.;.
"2018";"8224 Teatteritaiteen lisensiaatti";.;.
"2018";"8231 Filosofian lisensiaatti, kielitieteet";4050;4030
"2018";"8232 Filosofian lisensiaatti, kääntäminen ja tulkkaus";.;.
"2018";"8233 Filosofian lisensiaatti, historia ja arkeologia";4474;4077
"2018";"8234 Filosofian lisensiaatti, kirjallisuuden, kulttuurien ja kielentutkimus";4355;4120
"2018";"8235 Filosofian lisensiaatti, taiteiden tutkimus";.;.
"2018";"8236 Filosofian lisensiaatti, viestintätieteet ja informaatiotutkimus";.;.
"2018";"8237 Filosofian lisensiaatti, filosofia (humanistinen ala)";.;.
"2018";"8241 Teologian lisensiaatti";4662;4174
"2018";"8251 Taiteen tohtori";5066;4852
"2018";"8252 Musiikin tohtori";4389;4237
"2018";"8254 Teatteritaiteen tohtori";.;.
"2018";"8255 Tanssitaiteen tohtori";.;.
"2018";"8261 Filosofian tohtori, kielitieteet";4763;4326
"2018";"8262 Filosofian tohtori, kääntäminen ja tulkkaus";.;.
"2018";"8263 Filosofian tohtori, historia ja arkeologia";4871;4516
"2018";"8264 Filosofian tohtori, kirjallisuuden, kulttuurien ja kielentutkimus";4623;4326
"2018";"8265 Filosofian tohtori, taiteiden tutkimus";4593;4120
"2018";"8266 Filosofian tohtori, viestintätieteet ja informaatiotutkimus";5411;5088
"2018";"8267 Filosofian tohtori, filosofia (humanistinen ala)";5212;4749
"2018";"8269 Filosofian tohtori, muu humanistinen ala";.;.
"2018";"8271 Teologian tohtori";4713;4397
"2018";"8321 Kauppatieteiden lisensiaatti";6636;5472
"2018";"8323 Taloustieteiden lisensiaatti";.;.
"2018";"8331 Valtiotieteiden lisensiaatti";5436;4750
"2018";"8332 Yhteiskuntatieteiden lisensiaatti";4553;4500
"2018";"8333 Hallintotieteiden lisensiaatti";.;.
"2018";"8334 Filosofian lisensiaatti, yhteiskuntatieteellinen ala";.;.
"2018";"8335 Psykologian lisensiaatti";5311;4972
"2018";"8341 Oikeustieteen lisensiaatti";7056;6750
"2018";"8351 Kauppatieteiden tohtori";5724;5346
"2018";"8361 Valtiotieteiden tohtori";5287;4902
"2018";"8362 Yhteiskuntatieteiden tohtori";4906;4656
"2018";"8363 Hallintotieteiden tohtori";5184;4987
"2018";"8365 Psykologian tohtori";5226;4868
"2018";"8373 Oikeustieteen tohtori";5959;5681
"2018";"8391 Filosofian tohtori, kauppatieteellinen ja yhteiskuntatieteellinen ala";5001;4861
"2018";"8421 Filosofian lisensiaatti, matematiikka ja tilastotiede";4945;4631
"2018";"8422 Filosofian lisensiaatti, tietojenkäsittelytiede";4898;4656
"2018";"8423 Filosofian lisensiaatti, fysikaaliset tieteet";4865;4800
"2018";"8424 Filosofian lisensiaatti, kemia";4730;4614
"2018";"8425 Filosofian lisensiaatti, geologia";.;.
"2018";"8426 Filosofian lisensiaatti, maantiede";.;.
"2018";"8427 Filosofian lisensiaatti, biologia, biotieteet, biokemia ja ympäristötiede";4719;4852
"2018";"8429 Filosofian lisensiaatti, muu luonnontieteellinen ala";.;.
"2018";"8451 Filosofian tohtori, matematiikka ja tilastotiede";4760;4427
"2018";"8452 Filosofian tohtori, tietojenkäsittelytiede";5164;4749
"2018";"8453 Filosofian tohtori, fysikaaliset tieteet";5160;4749
"2018";"8454 Filosofian tohtori, kemia";4788;4528
"2018";"8455 Filosofian tohtori, geologia";5044;4988
"2018";"8456 Filosofian tohtori, maantiede";4846;4516
"2018";"8457 Filosofian tohtori, biologia, biotieteet, biokemia ja ympäristötiede";4719;4400
"2018";"8459 Filosofian tohtori, muu luonnontieteellinen ala";4520;4229
"2018";"8499 Muu luonnontieteellinen koulutus, tutkijakoulutusaste";4358;4150
"2018";"8511 Tekniikan lisensiaatti, konetekniikka ja energiatekniikka";5483;5454
"2018";"8512 Tekniikan lisensiaatti, sähkötekniikka ja automaatiotekniikka";6150;5566
"2018";"8513 Tekniikan lisensiaatti, tietotekniikka ja tietoliikennetekniikka";5889;5602
"2018";"8514 Tekniikan lisensiaatti, prosessitekniikka ja materiaalitekniikka";5862;5491
"2018";"8515 Tekniikan lisensiaatti, rakennustekniikka ja maanmittaustekniikka";6352;6397
"2018";"8516 Tekniikan lisensiaatti, tuotantotalous";6735;6417
"2018";"8518 Tekniikan lisensiaatti, arkkitehtuuri";.;.
"2018";"8519 Tekniikan lisensiaatti, muu tekniikka";.;.
"2018";"8551 Tekniikan tohtori, konetekniikka ja energiatekniikka";5341;5061
"2018";"8552 Tekniikan tohtori, sähkötekniikka ja automaatiotekniikka";5452;5038
"2018";"8553 Tekniikan tohtori, tietotekniikka ja tietoliikennetekniikka";5491;5283
"2018";"8554 Tekniikan tohtori, prosessitekniikka ja materiaalitekniikka";5334;4874
"2018";"8555 Tekniikan tohtori, rakennustekniikka ja maanmittaustekniikka";6155;5919
"2018";"8556 Tekniikan tohtori, tuotantotalous";6149;5691
"2018";"8558 Tekniikan tohtori, arkkitehtuuri";.;.
"2018";"8559 Tekniikan tohtori, muu tekniikka";.;.
"2018";"8561 Filosofian tohtori, tekniikan ala";4831;4649
"2018";"8599 Muu tekniikan koulutus, tutkijakoulutusaste";.;.
"2018";"8622 Maatalous- ja metsätieteiden lisensiaatti";5178;4873
"2018";"8652 Maatalous- ja metsätieteiden tohtori";5109;4749
"2018";"8653 Elintarviketieteiden tohtori";5090;4832
"2018";"8655 Filosofian tohtori, maa- ja metsätalousala";4405;4403
"2018";"8699 Muu maa- ja metsätalousalan koulutus, tutkijakoulutusaste";.;.
"2018";"8724 Farmasian lisensiaatti";.;.
"2018";"8725 Terveystieteiden lisensiaatti, terveydenhuollon lisensiaatti";4798;4995
"2018";"8751 Lääketieteen tohtori; lääketieteen ja kirurgian tohtori";7762;6791
"2018";"8752 Hammaslääketieteen tohtori";5619;4936
"2018";"8753 Eläinlääketieteen tohtori";5249;5020
"2018";"8754 Farmasian tohtori";5618;4987
"2018";"8755 Terveystieteiden tohtori, terveydenhuollon tohtori";4850;4840
"2018";"8756 Filosofian tohtori, terveys- ja sosiaaliala";4709;4326
"2018";"8799 Muu terveys- ja sosiaalialan koulutus, tutkijakoulutusaste";.;.
"2018";"8822 Liikuntatieteiden lisensiaatti";.;.
"2018";"8852 Liikuntatieteiden tohtori";4823;4485
"2018";"8853 Filosofian tohtori, liikuntatieteen ala";.;.
"2018";"8959 Filosofian tohtori, muu koulutusala";.;.
"2018";"8999 Muu koulutus, tutkijakoulutusaste";3962;4325
"2018";"9999 Muu koulutus, koulutusaste tuntematon";3113;2687
