S��nn�llisen ty�ajan keskiansio;S��nn�llisen ty�ajan ansion mediaani,
124r -- Yksityisen sektorin kuukausipalkkaisten ansiot koulutusluokituksen (4-numeroinen tutkintokoodi) mukaan vuonna 2018, 2018

;;3691;3278
;;3520;3056
;;3108;2562
;;3306;3209
;;3073;2800
;;2667;2447
;;2663;2562
;;2586;2449
;;2531;2384
;;2894;2674
;;3389;3436
;;2470;2493
;;3316;3300
;;2727;2735
;;3164;3068
;;.;.
;;3905;3799
;;.;.
;;.;.
;;2902;2628
;;2756;2457
;;3008;2707
;;3817;3521
;;2914;2668
;;3237;3000
;;3437;3197
;;3786;3677
;;3213;3009
;;2764;2476
;;3153;2900
;;3479;3261
;;3556;3320
;;2977;2805
;;2958;2723
;;2677;2402
;;2804;2524
;;3038;2785
;;3120;2881
;;2489;2328
;;2924;2679
;;3033;2834
;;3287;3181
;;2703;2527
;;3529;3251
;;3513;3424
;;3459;3231
;;3373;3320
;;2986;2819
;;2837;2546
;;2819;2709
;;3458;3304
;;.;.
;;2443;2299
;;3250;2956
;;3189;3018
;;3558;3396
;;3519;3459
;;3630;3472
;;3939;3820
;;3688;3480
;;3654;3440
;;.;.
;;3426;3360
;;3624;3626
;;3849;3762
;;2380;2341
;;3795;3500
;;3812;3644
;;2329;2301
;;2838;2564
;;2426;2269
;;2991;2834
;;3253;3016
;;2510;2435
;;2569;2360
;;2397;2342
;;3063;2883
;;.;.
;;2487;2258
;;.;.
;;.;.
;;2627;2507
;;.;.
;;.;.
;;2572;2496
;;2508;2398
;;2756;2710
;;.;.
;;2506;2331
;;2570;2373
;;2493;2341
;;3048;2756
;;2956;2743
;;3845;3585
;;.;.
;;2276;2163
;;2696;2431
;;.;.
;;3273;3125
;;2834;2662
;;.;.
;;2793;2647
;;3363;3321
;;.;.
;;.;.
;;3549;3260
;;2716;2470
;;2373;2307
;;.;.
;;.;.
;;3658;3500
;;3558;2896
;;3008;3000
;;3620;3154
;;3201;3009
;;3037;3071
;;2867;2520
;;.;.
;;4001;3721
;;3381;3176
;;3641;3229
;;4120;3926
;;4389;3435
;;5011;4729
;;4215;3946
;;4519;4194
;;4613;4303
;;4006;3782
;;4509;4268
;;3603;3321
;;3567;3251
;;3857;3520
;;3327;3142
;;3173;3279
;;3583;3374
;;3497;3134
;;3102;2860
;;3536;3270
;;.;.
;;3262;2940
;;3161;2852
;;2737;2793
;;4310;4033
;;4516;4731
;;4069;3855
;;.;.
;;3525;2818
;;2693;2650
;;2579;2335
;;2777;2577
;;3061;2852
;;.;.
;;2994;2831
;;3304;3000
;;2973;2639
;;3344;3201
;;.;.
;;2685;2527
;;3049;2850
;;2902;2630
;;2538;2328
;;2647;2594
;;3409;3320
;;2893;2736
;;.;.
;;3786;3500
;;3010;2752
;;.;.
;;3465;3290
;;.;.
;;3222;2997
;;3094;2979
;;3214;2991
;;3113;2991
;;2963;2716
;;3458;3344
;;.;.
;;.;.
;;2706;2520
;;3855;3488
;;2900;2655
;;3603;3260
;;3810;3337
;;5307;4784
;;4001;3628
;;5162;3754
;;3463;3193
;;3513;3247
;;3453;3072
;;3758;3451
;;2956;3040
;;.;.
;;.;.
;;4044;3757
;;4388;4020
;;3003;2615
;;3727;3402
;;4494;4258
;;3135;2426
;;3018;2805
;;3469;3008
;;3077;3104
;;2636;2331
;;.;.
;;3841;3492
;;3954;3749
;;4086;3888
;;4018;3863
;;3812;3626
;;4058;3820
;;4063;3777
;;3631;3440
;;3902;3658
;;3932;3804
;;.;.
;;2951;2801
;;5106;4742
;;5115;4804
;;5294;5020
;;4876;4589
;;4876;4633
;;5095;4847
;;4106;3896
;;4147;3975
;;3157;3200
;;3141;3100
;;3913;3600
;;2972;2950
;;3172;3124
;;3447;3417
;;3264;3063
;;2792;2590
;;3559;3163
;;2931;2794
;;2936;2784
;;3425;3219
;;3190;3209
;;2808;2855
;;.;.
;;3267;3000
;;3406;3170
;;3911;3587
;;.;.
;;2996;2842
;;2839;2702
;;2832;2731
;;.;.
;;.;.
;;3170;3079
;;3258;3184
;;3538;3194
;;.;.
;;3039;2775
;;3077;2872
;;3084;2842
;;4671;4572
;;.;.
;;4147;3920
;;3327;3215
;;5293;5232
;;.;.
;;.;.
;;.;.
;;.;.
;;3394;3020
;;3141;3042
;;4124;3893
;;3885;3700
;;3057;2988
;;3550;3500
;;.;.
;;.;.
;;4025;3850
;;3652;3544
;;3886;3852
;;4032;3963
;;3396;3270
;;3625;3540
;;2911;2538
;;3706;3438
;;3451;3356
;;.;.
;;3744;3565
;;3708;3520
;;3679;3412
;;3576;3395
;;3373;3100
;;3983;3816
;;4030;3562
;;3224;3024
;;3697;3629
;;.;.
;;3311;3200
;;4563;4327
;;4379;4190
;;5094;4655
;;6686;6016
;;5404;4825
;;5045;4600
;;4646;4171
;;4050;3718
;;4582;4206
;;4658;4680
;;4632;4230
;;.;.
;;6567;6053
;;3867;3542
;;4632;4434
;;4834;4596
;;4308;4124
;;4466;4179
;;4241;3924
;;3954;3600
;;3779;3449
;;3527;3361
;;4280;4305
;;4670;4266
;;4381;4278
;;5384;4870
;;4231;4119
;;4669;4530
;;4911;4802
;;4460;4420
;;5104;4711
;;5078;4766
;;5155;4802
;;5073;4673
;;5248;4964
;;5763;5272
;;4347;3989
;;4494;4290
;;4198;4020
;;4416;4074
;;4074;3542
;;.;.
;;4205;4149
;;.;.
;;.;.
;;4594;4232
;;4647;4363
;;4320;4405
;;5050;4786
;;.;.
;;3875;3593
;;3624;3475
;;3364;3253
;;.;.
;;6628;6612
